reason_excluded,tier,ranking_score,field,id,source_id,ra,dec,sky_group,picked,in_any_list,in_hviding25_B1,y,mag_f444w
published-or-labelled,equal_burden,0.9893756,gds,47169,200294,53.11674562050395,-27.783976648541074,190078,True,True,False,,25.640535209235104
published-or-labelled,equal_burden,0.9893754,primer-uds-south,33372,126500,34.46608591788974,-5.264767832881138,120999,True,True,False,,24.66532856922345
published-or-labelled,equal_burden,0.98936784,primer-cosmos-west,56169,331636,150.08281657289598,2.2777267489780777,309731,True,True,False,1.0,25.27701136848022
published-or-labelled,equal_burden,0.98935586,primer-uds-north,39709,41569,34.296002174241615,-5.14989519964438,39702,True,True,True,1.0,24.884307269632874
published-or-labelled,equal_burden,0.9893392,primer-uds-north,63748,82379,34.3723696592935,-5.1159123200806995,78636,True,True,True,1.0,26.306362653713922
published-or-labelled,equal_burden,0.9893369,primer-cosmos-west,57916,386527,150.12927946654452,2.282167759647546,359116,True,True,False,,24.945766940891538
published-or-labelled,equal_burden,0.98932844,primer-uds-south,42517,148750,34.51422031369364,-5.250364634933587,142339,True,True,False,,24.555924305334464
rule-selected,equal_burden,0.989327,primer-uds-south,34686,49013,34.308284783825464,-5.262666007487658,46779,True,False,False,,24.632562640940083
published-or-labelled,equal_burden,0.9893237,gdn,77943,485284,189.17930587283507,62.29253343321359,453351,True,True,False,,25.04976574391083
published-or-labelled,equal_burden,0.9893197,primer-uds-south,6723,126695,34.46652991962465,-5.3103081109867825,121186,True,True,False,,24.703869877726422
rule-selected,equal_burden,0.9893183,primer-cosmos-west,31952,357200,150.102291067205,2.2190903553549655,332288,True,False,False,,26.593972710938328
published-or-labelled,equal_burden,0.9893135,ceers-full,63478,568695,214.8400401322637,52.86065052801385,531932,True,True,False,1.0,25.537537605154835
published-or-labelled,equal_burden,0.9893109,primer-cosmos-west,41431,367417,150.11107267406152,2.2452714380733645,341439,True,True,False,,25.482859019684163
published-or-labelled,equal_burden,0.98930854,ceers-full,22050,584284,214.89970861897189,52.81284286054932,546688,True,True,False,1.0,25.625490307736612
published-or-labelled,equal_burden,0.9893062,ceers-full,61870,611866,215.00849034389321,52.977973642932014,572803,True,True,False,,25.555275025962345
rule-selected,equal_burden,0.9893059,gdn,42221,472125,189.10955870950846,62.22845938445554,440859,True,False,False,,25.696881214224042
published-or-labelled,equal_burden,0.9893019,primer-uds-north,22589,78147,34.36296361800562,-5.173199939908805,74574,True,True,False,,25.83833178485785
published-or-labelled,equal_burden,0.98926246,gdn,16455,489368,189.19739709076848,62.17723261609704,457228,True,True,False,1.0,25.32863954720541
published-or-labelled,equal_burden,0.98925173,gds,67995,229919,53.161376256557986,-27.737668118586065,217418,True,True,False,,25.295153781729876
published-or-labelled,equal_burden,0.98924565,gds,46061,206125,53.12690220614058,-27.786152083012336,195469,True,True,False,,25.582729970468844
published-or-labelled,equal_burden,0.9892165,ceers-full,76531,609517,214.99840335988904,53.00462417020744,570609,True,True,False,,25.079921202922158
rule-selected,equal_burden,0.98921365,primer-cosmos-east,57507,407424,150.1504715699428,2.377868226513393,378888,True,False,False,,26.315749718609815
rule-selected,equal_burden,0.98920405,gdn,55476,481416,189.1618384060865,62.251057894094146,449701,True,False,False,,25.1305795154374
rule-selected,equal_burden,0.98920316,primer-cosmos-east,62051,415054,150.15898597838367,2.3943757953538483,386140,True,False,False,,25.634487708157128
